"City Name","S.No","Project","ABD/Pan
City/Other","Total SCP Cost
(in Crores)",""
"Thoothukudi","82.0","Vehicle tracking unit- ambulance","Pan City","0.87",""
"Thoothukudi","83.0","Depota & terminal hardware","Pan City","0.19",""
"Thoothukudi","84.0","Other recreational ticketing systems","Pan City","0.15",""
"Thoothukudi","","Parking Management System","","",""
"Thoothukudi","85.0","On-street parking sensors","Pan City","4.85",""
"Thoothukudi","86.0","Wireless aggregator","Pan City","2.91",""
"Thoothukudi","87.0","Ticketing handheld device","Pan City","3.88",""
"Thoothukudi","","Area Traffie Control System","","",""
"Thoothukudi","88.0","Adaptive traffic management system","Pan City","2.43",""
"Thoothukudi","89.0","Junction controllers","Pan City","7.76",""
"Thoothukudi","90.0","Traveler information displays","Pan City","1.75",""
"Thoothukudi","91.0","Speed violation detection system","Pan City","0.85",""
"Thoothukudi","92.0","Junction violation detection system","Pan City","1.75",""
"Thoothukudi","","Safety & Security Platform","","",""
"Thoothukudi","93.0","CCTV cameras","Pan City","8.73",""
"Thoothukudi","94.0","Civil work and poles","Pan City","0.73",""
"Thoothukudi","95.0","Network etc.","Pan City","2.18",""
"Thoothukudi","","Fiber optic network and city communication backbone","","",""
"Thoothukudi","96.0","96 core + 48 core + 12 core fiber","Pan City","5.82",""
"Thoothukudi","97.0","Active network elements etc.","Pan City","25.23",""
"Thoothukudi","","Common City Payments & Service Processing Platform","","",""
"Thoothukudi","98.0","Service delivery points","Pan City","1.22",""
"Thoothukudi","99.0","Commmunication units","Pan City","0.05",""
"Thoothukudi","100.0","One app mobile platform","Pan City","2.91",""
"Thoothukudi","101.0","EMV/Rupay Card","Pan City","1.94",""
"Thoothukudi","102.0","Bank Card host system","Pan City","2.13",""
"Thoothukudi","103.0","Service Applications","Pan City","3.88",""
"Thoothukudi","104.0","Mobile wallet integration","Pan City","1.14",""
"Note- This only indicates cost of individual projects given in the SCP. The total value of SCP may additionally include other costs such as DPR preparation, PMC,
O&M etc.","","","","",""
